site_id,vegetation_type,metadata_source
CH-DAV,ENF,fluxnet_siteinfo
CH-FRU,GRA,fluxnet_siteinfo
CH-LAE,MF,fluxnet_siteinfo
CH-OE1,GRA,fluxnet_siteinfo
CH-OE2,CRO,fluxnet_siteinfo
CL-ACF,ENF,ameriflux_site_search
CL-FJS,OSH,ameriflux_site_search
CL-OPP,WET,ameriflux_site_search
CL-SDF,EBF,ameriflux_site_search
CL-SDP,WET,ameriflux_site_search
CN-CHA,MF,fluxnet_siteinfo
CN-CNG,GRA,fluxnet_siteinfo
CN-DAN,GRA,fluxnet_siteinfo
CN-DIN,EBF,fluxnet_siteinfo
CN-DU2,GRA,fluxnet_siteinfo
CN-DU3,GRA,fluxnet_siteinfo
CN-HA2,WET,fluxnet_siteinfo
CN-HAM,GRA,fluxnet_siteinfo
CN-QIA,ENF,fluxnet_siteinfo
CN-SW2,GRA,fluxnet_siteinfo
CO-GV1,WET,ameriflux_site_search
CO-GV2,WET,ameriflux_site_search
CR-DOS,EBF,ameriflux_site_search
CR-FSC,CRO,ameriflux_site_search
CR-LSE,EBF,ameriflux_site_search
CR-NMR,CRO,ameriflux_site_search
CR-SOC,EBF,ameriflux_site_search
CZ-BK1,ENF,fluxnet_siteinfo
CZ-BK2,GRA,fluxnet_siteinfo
CZ-WET,WET,fluxnet_siteinfo
DE-AKM,WET,fluxnet_siteinfo
DE-GEB,CRO,fluxnet_siteinfo
DE-GRI,GRA,fluxnet_siteinfo
DE-HAI,DBF,fluxnet_siteinfo
DE-KLI,CRO,fluxnet_siteinfo
DE-LKB,ENF,fluxnet_siteinfo
DE-LNF,DBF,fluxnet_siteinfo
DE-OBE,ENF,fluxnet_siteinfo
DE-RUR,GRA,fluxnet_siteinfo
DE-RUS,CRO,fluxnet_siteinfo
DE-SEH,CRO,fluxnet_siteinfo
DE-SFN,WET,fluxnet_siteinfo
DE-SPW,WET,fluxnet_siteinfo
DE-THA,ENF,fluxnet_siteinfo
DE-ZRK,WET,fluxnet_siteinfo
DK-ENG,GRA,fluxnet_siteinfo
DK-FOU,CRO,fluxnet_siteinfo
DK-SOR,DBF,fluxnet_siteinfo
ES-AMO,OSH,fluxnet_siteinfo
ES-LGS,OSH,fluxnet_siteinfo
ES-LJU,OSH,fluxnet_siteinfo
ES-LN2,OSH,fluxnet_siteinfo
FI-HYY,ENF,fluxnet_siteinfo
FI-JOK,CRO,fluxnet_siteinfo
FI-LET,ENF,fluxnet_siteinfo
FI-LOM,WET,fluxnet_siteinfo
FI-SOD,ENF,fluxnet_siteinfo
FR-FON,DBF,fluxnet_siteinfo
FR-GRI,CRO,fluxnet_siteinfo
FR-LBR,ENF,fluxnet_siteinfo
FR-PUE,EBF,fluxnet_siteinfo
GF-GUY,EBF,fluxnet_siteinfo
GH-ANK,EBF,fluxnet_siteinfo
GL-NUF,WET,fluxnet_siteinfo
GL-ZAF,WET,fluxnet_siteinfo
GL-ZAH,GRA,fluxnet_siteinfo
IT-BCI,CRO,fluxnet_siteinfo
IT-CA1,DBF,fluxnet_siteinfo
IT-CA2,CRO,fluxnet_siteinfo
IT-CA3,DBF,fluxnet_siteinfo
IT-COL,DBF,fluxnet_siteinfo
IT-CP2,EBF,fluxnet_siteinfo
IT-CPZ,EBF,fluxnet_siteinfo
IT-ISP,DBF,fluxnet_siteinfo
IT-LA2,ENF,fluxnet_siteinfo
IT-LAV,ENF,fluxnet_siteinfo
IT-MBO,GRA,fluxnet_siteinfo
IT-NOE,CSH,fluxnet_siteinfo
IT-PT1,DBF,fluxnet_siteinfo
IT-REN,ENF,fluxnet_siteinfo
IT-RO1,DBF,fluxnet_siteinfo
IT-RO2,DBF,fluxnet_siteinfo
IT-SR2,ENF,fluxnet_siteinfo
IT-SRO,ENF,fluxnet_siteinfo
IT-TOR,GRA,fluxnet_siteinfo
JP-MBF,DBF,fluxnet_siteinfo
JP-SMF,MF,fluxnet_siteinfo
MX-AOG,DBF,ameriflux_site_search
MX-ASF,DBF,ameriflux_site_search
MX-BRN,OSH,ameriflux_site_search
MX-CHB,SAV,ameriflux_site_search
MX-CHN,CSH,ameriflux_site_search
MX-CLS,WAT,ameriflux_site_search
MX-EMG,CSH,ameriflux_site_search
MX-IIT,URB,ameriflux_site_search
MX-ISD,OSH,ameriflux_site_search
MX-LPA,OSH,ameriflux_site_search
MX-OAK,WSA,ameriflux_site_search
MX-PMM,WET,ameriflux_site_search
MX-RAY,WSA,ameriflux_site_search
MX-SGT,WET,ameriflux_site_search
MX-TES,DBF,ameriflux_site_search
MX-VQS,GRA,ameriflux_site_search
MY-PSO,EBF,fluxnet_siteinfo
NL-HOR,GRA,fluxnet_siteinfo
NL-LOO,ENF,fluxnet_siteinfo
PA-BAR,EBF,ameriflux_site_search
PA-BAS,EBF,ameriflux_site_search
PA-SPN,DBF,fluxnet_siteinfo
PA-SPS,GRA,fluxnet_siteinfo
PE-AMG,EBF,ameriflux_site_search
PE-BRE,EBF,ameriflux_site_search
PE-PAN,EBF,ameriflux_site_search
PE-QFR,WET,ameriflux_site_search
PE-TNR,MF,ameriflux_site_search
PR-XGU,EBF,ameriflux_site_search
PR-XLA,GRA,ameriflux_site_search
RU-CHE,WET,fluxnet_siteinfo
RU-COK,OSH,fluxnet_siteinfo
RU-FYO,ENF,fluxnet_siteinfo
RU-HA1,GRA,fluxnet_siteinfo
RU-SAM,GRA,fluxnet_siteinfo
RU-SKP,DNF,fluxnet_siteinfo
RU-TKS,GRA,fluxnet_siteinfo
RU-VRK,CSH,fluxnet_siteinfo
SD-DEM,SAV,fluxnet_siteinfo
SE-ST1,WET,fluxnet_siteinfo
SJ-ADV,WET,fluxnet_siteinfo
SJ-BLV,SNO,fluxnet_siteinfo
SN-DHR,SAV,fluxnet_siteinfo
US-A03,BSV,ameriflux_site_search
US-A10,BSV,ameriflux_site_search
US-A12,CVM,ameriflux_site_search
US-A14,CVM,ameriflux_site_search
US-A20,CRO,ameriflux_site_search
US-A30,CRO,ameriflux_site_search
US-A31,GRA,ameriflux_site_search
US-A32,GRA,ameriflux_site_search
US-A33,CVM,ameriflux_site_search
US-A37,CVM,ameriflux_site_search
US-A38,CVM,ameriflux_site_search
US-A39,CRO,ameriflux_site_search
US-A40,CRO,ameriflux_site_search
US-A41,CVM,ameriflux_site_search
US-A74,CRO,ameriflux_site_search
US-AAG,GRA,ameriflux_site_search
US-ABA,GRA,ameriflux_site_search
US-ABB,GRA,ameriflux_site_search
US-ABC,GRA,ameriflux_site_search
US-ABD,GRA,ameriflux_site_search
US-ABE,WET,ameriflux_site_search
US-AC2,CRO,ameriflux_site_search
US-AC3,WAT,ameriflux_site_search
US-AC5,URB,ameriflux_site_search
US-AC6,URB,ameriflux_site_search
US-ACT,WAT,ameriflux_site_search
US-ADR,BSV,ameriflux_site_search
US-AF1,CVM,ameriflux_site_search
US-AKN,MF,ameriflux_site_search
US-ALQ,WET,ameriflux_site_search
US-AMS,GRA,ameriflux_site_search
US-AN1,OSH,ameriflux_site_search
US-AN2,OSH,ameriflux_site_search
US-AN3,OSH,ameriflux_site_search
US-AOL,MF,ameriflux_site_search
US-AR1,GRA,ameriflux_site_search
US-AR2,GRA,ameriflux_site_search
US-ARB,GRA,ameriflux_site_search
US-ARC,GRA,ameriflux_site_search
US-ARM,CRO,ameriflux_site_search
US-ASH,DBF,ameriflux_site_search
US-ASL,DBF,ameriflux_site_search
US-ASM,DBF,ameriflux_site_search
US-ATQ,WET,ameriflux_site_search
US-AUD,GRA,ameriflux_site_search
US-AV1,CRO,ameriflux_site_search
US-AV2,CRO,ameriflux_site_search
US-AV3,CRO,ameriflux_site_search
US-AV4,CRO,ameriflux_site_search
US-AV5,CRO,ameriflux_site_search
US-BAR,DBF,ameriflux_site_search
US-BCM,WET,ameriflux_site_search
US-BD4,CRO,ameriflux_site_search
US-BD5,CRO,ameriflux_site_search
US-BD6,CRO,ameriflux_site_search
US-BDA,CRO,ameriflux_site_search
US-BDC,CRO,ameriflux_site_search
US-BEO,WET,ameriflux_site_search
US-BES,WET,ameriflux_site_search
US-BFS,OSH,ameriflux_site_search
US-BGC,WSA,ameriflux_site_search
US-BI1,CRO,ameriflux_site_search
US-BI2,CRO,ameriflux_site_search
US-BKG,GRA,ameriflux_site_search
US-BLK,ENF,ameriflux_site_search
US-BLO,ENF,ameriflux_site_search
US-BMM,GRA,ameriflux_site_search
US-BN1,ENF,ameriflux_site_search
US-BN2,DBF,ameriflux_site_search
US-BN3,OSH,ameriflux_site_search
US-BNF,MF,ameriflux_site_search
US-BO1,CRO,ameriflux_site_search
US-BO2,CRO,ameriflux_site_search
US-BR1,CRO,ameriflux_site_search
US-BR2,CRO,ameriflux_site_search
US-BR3,CRO,ameriflux_site_search
US-BRG,GRA,ameriflux_site_search
US-BRW,WET,ameriflux_site_search
US-BSG,OSH,ameriflux_site_search
US-BSM,WET,ameriflux_site_search
US-BWA,URB,ameriflux_site_search
US-BWB,GRA,ameriflux_site_search
US-BWE,GRA,ameriflux_site_search
US-BZB,WET,ameriflux_site_search
US-BZF,WET,ameriflux_site_search
