site_id,site_code,site_name,country_code,country,latitude,longitude,source_system,source_network,source_files,source_count,coordinate_details,review_reason
NZ-Sco,Sco,Scott Farm,NZ,New Zealand,-37.46,175.22,external_docs,Site metadata,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/Towers_Stoy.csv; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/originals/Towers_Stoy.csv; 24.explorerDocs/sites_not_in_explorer.csv; 24.explorerDocs/unique_flux_sites.csv; assets/site_name_metadata.csv,8,"(-37.46, 175.22) <= 24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/Towers_Stoy.csv, 24.explorerDocs/allSites.xlsx#Sheet1, 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/originals/Towers_Stoy.csv, 24.explorerDocs/sites_not_in_explorer.csv, 24.explorerDocs/unique_flux_sites.csv",multiple possible candidate merges were observed: NZ-ScF
PA-BAS,BAS,Barro Colorado Island,PA,Panama,9.1565,-79.8482,explorer_repo_metadata,Vegetation metadata,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/Towers_Stoy.csv; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/explorerSiteList_032026.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/originals/Towers_Stoy.csv; 24.explorerDocs/unique_flux_sites.csv; assets/ameriflux_site_info.csv; assets/site_name_metadata.csv; assets/site_vegetation_metadata.csv,10,"max_distance_km=0.32; (9.154, -79.848) <= 24.explorerDocs/Towers_Stoy.csv, 24.explorerDocs/originals/Towers_Stoy.csv | (9.1565, -79.8482) <= assets/ameriflux_site_info.csv | (9.1568, -79.8486) <= 24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/allSites.xlsx#Sheet1, 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/unique_flux_sites.csv, assets/ameriflux_site_info.csv",conflicting FLUXNET-style site_ids contributed to the merged site
PDF,PDF,Palangkaraya drained forest,ID,Indonesia,-2.345,114.0364,explorer_repo_metadata,Site metadata,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/sites_not_in_explorer.csv; 24.explorerDocs/unique_flux_sites.csv; assets/site_name_metadata.csv,6,"(-2.345, 114.0364) <= 24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/allSites.xlsx#Sheet1, 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/sites_not_in_explorer.csv, 24.explorerDocs/unique_flux_sites.csv",multiple possible candidate merges were observed: ID-PaD
RU-SkP,SkP,Yakutsk Spasskaya Pad larch,RU,Russia,62.25471,129.61855,explorer_accessible,AsiaFlux;JapanFlux;PAGE21,24.explorerDocs/EFDC_SitesList.csv; 24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/Towers_Stoy.csv; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/explorerSiteList_032026.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/originals/Towers_Stoy.csv; 24.explorerDocs/unique_flux_sites.csv; assets/efd_curated_sites_snapshot.csv; assets/efd_sites_snapshot.csv; assets/icos_direct_fluxnet.csv; assets/japanflux_direct_snapshot.csv; assets/shuttle_snapshot.csv; assets/site_name_metadata.csv; assets/site_vegetation_metadata.csv; assets/siteinfo_fluxnet2015.csv,16,"max_distance_km=23.32; (62.25471, 129.618543) <= 24.explorerDocs/EFDC_SitesList.csv, 24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/allSites.xlsx#Sheet1, 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/unique_flux_sites.csv, assets/efd_curated_sites_snapshot.csv, assets/efd_sites_snapshot.csv, assets/japanflux_direct_snapshot.csv | (62.25471, 129.61855) <= assets/icos_direct_fluxnet.csv, assets/shuttle_snapshot.csv | (62.255, 129.168) <= 24.explorerDocs/Towers_Stoy.csv, 24.explorerDocs/originals/Towers_Stoy.csv, assets/siteinfo_fluxnet2015.csv",materially conflicting coordinates were present across contributing records
SAP,SAP,Sapporo forest meteorology research site,JP,Japan,42.986836,141.385288,explorer_repo_metadata,Site metadata,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/sites_not_in_explorer.csv; 24.explorerDocs/unique_flux_sites.csv; assets/site_name_metadata.csv,6,"(42.986836, 141.385288) <= 24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/allSites.xlsx#Sheet1, 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/sites_not_in_explorer.csv, 24.explorerDocs/unique_flux_sites.csv",multiple possible candidate merges were observed: JP-Spp
SE-Ros,Ros,Rosinedal-3,SE,Sweden,64.16522,19.79074,explorer_accessible,European_Fluxes,24.explorerDocs/EFDC_SitesList.csv; 24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/Towers_Stoy.csv; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/explorerSiteList_032026.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/originals/Towers_Stoy.csv; 24.explorerDocs/unique_flux_sites.csv; assets/efd_curated_sites_snapshot.csv; assets/efd_sites_snapshot.csv; assets/icos_direct_fluxnet.csv; assets/site_name_metadata.csv,12,"max_distance_km=2.71; (64.16522, 19.79074) <= assets/icos_direct_fluxnet.csv | (64.165333, 19.791417) <= 24.explorerDocs/EFDC_SitesList.csv, 24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/allSites.xlsx#Sheet1, 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/unique_flux_sites.csv, assets/efd_curated_sites_snapshot.csv, assets/efd_sites_snapshot.csv | (64.1725, 19.738) <= 24.explorerDocs/Towers_Stoy.csv, 24.explorerDocs/originals/Towers_Stoy.csv",materially conflicting coordinates were present across contributing records
TGK,TGK,Tibet Grassland Site,,,,,explorer_repo_metadata,Site metadata,assets/site_name_metadata.csv,1,,country_code could not be inferred confidently
TH-Mae,Mae,Mae Moh plantation,TH,Thailand,18.42264,99.72025,explorer_accessible,AsiaFlux;JapanFlux,24.explorerDocs/Towers_Stoy.csv; 24.explorerDocs/explorerSiteList_032026.xlsx#Sheet1; 24.explorerDocs/originals/Towers_Stoy.csv; 24.explorerDocs/unique_flux_sites.csv; assets/icos_direct_fluxnet.csv; assets/japanflux_direct_snapshot.csv; assets/shuttle_snapshot.csv,7,"max_distance_km=436.33; (14.589564, 98.84388) <= 24.explorerDocs/Towers_Stoy.csv, 24.explorerDocs/originals/Towers_Stoy.csv, 24.explorerDocs/unique_flux_sites.csv | (18.383333, 99.716667) <= assets/japanflux_direct_snapshot.csv | (18.42264, 99.72025) <= assets/icos_direct_fluxnet.csv, assets/shuttle_snapshot.csv",materially conflicting coordinates were present across contributing records
TSE,TSE,CC-LaG Teshio Experimental Forest,JP,Japan,45.0558,142.1073,explorer_repo_metadata,Site metadata,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/sites_not_in_explorer.csv; 24.explorerDocs/unique_flux_sites.csv; assets/site_name_metadata.csv,6,"(45.0558, 142.1073) <= 24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/allSites.xlsx#Sheet1, 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/sites_not_in_explorer.csv, 24.explorerDocs/unique_flux_sites.csv",multiple possible candidate merges were observed: JP-Tef
US-CS5,CS5,Central Sands Irrigated Agricultural Field,US,United States,44.1095,-89.5377,explorer_accessible,Vegetation metadata,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/Towers_Stoy.csv; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/explorerSiteList_032026.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/originals/Towers_Stoy.csv; 24.explorerDocs/unique_flux_sites.csv; assets/ameriflux_site_info.csv; assets/shuttle_snapshot.csv; assets/site_name_metadata.csv; assets/site_vegetation_metadata.csv,11,"max_distance_km=0.71; (44.1031, -89.5379) <= 24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/Towers_Stoy.csv, 24.explorerDocs/allSites.xlsx#Sheet1, 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/originals/Towers_Stoy.csv, 24.explorerDocs/unique_flux_sites.csv, assets/ameriflux_site_info.csv, assets/shuttle_snapshot.csv | (44.1095, -89.5377) <= 24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/Towers_Stoy.csv, 24.explorerDocs/allSites.xlsx#Sheet1, 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/originals/Towers_Stoy.csv, 24.explorerDocs/unique_flux_sites.csv, assets/ameriflux_site_info.csv, assets/shuttle_snapshot.csv",conflicting FLUXNET-style site_ids contributed to the merged site
US-CS8,CS8,Central Sands Irrigated Agricultural Field,US,United States,44.4338,-89.5364,explorer_accessible,Vegetation metadata,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/explorerSiteList_032026.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/unique_flux_sites.csv; assets/ameriflux_site_info.csv; assets/shuttle_snapshot.csv; assets/site_name_metadata.csv; assets/site_vegetation_metadata.csv,9,"max_distance_km=0.76; (44.4297, -89.544) <= 24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/allSites.xlsx#Sheet1, 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/unique_flux_sites.csv, assets/ameriflux_site_info.csv, assets/shuttle_snapshot.csv | (44.4338, -89.5364) <= 24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/allSites.xlsx#Sheet1, 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/unique_flux_sites.csv, assets/ameriflux_site_info.csv, assets/shuttle_snapshot.csv",conflicting FLUXNET-style site_ids contributed to the merged site
US-CU4,CU4,Argonne Testbed for Multiscale Observational Science (ATMOS),US,United States,41.7015,-87.9953,explorer_repo_metadata,Vegetation metadata,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/explorerSiteList_032026.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/sites_not_in_explorer.csv; 24.explorerDocs/unique_flux_sites.csv; assets/ameriflux_site_info.csv; assets/site_name_metadata.csv; assets/site_vegetation_metadata.csv,9,"max_distance_km=0.09; (41.7015, -87.9953) <= 24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/allSites.xlsx#Sheet1, 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/sites_not_in_explorer.csv, 24.explorerDocs/unique_flux_sites.csv, assets/ameriflux_site_info.csv | (41.7018, -87.9963) <= 24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/allSites.xlsx#Sheet1, 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/unique_flux_sites.csv, assets/ameriflux_site_info.csv",conflicting FLUXNET-style site_ids contributed to the merged site
US-WI9,WI9,Young Jack pine (YJP),US,United States,46.7385,-91.0746,explorer_repo_metadata,Vegetation metadata,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/Towers_Stoy.csv; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/explorerSiteList_032026.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/originals/Towers_Stoy.csv; 24.explorerDocs/unique_flux_sites.csv; assets/ameriflux_site_info.csv; assets/site_name_metadata.csv; assets/site_vegetation_metadata.csv; assets/siteinfo_fluxnet2015.csv,11,"max_distance_km=13.32; (46.6188, -91.0814) <= assets/siteinfo_fluxnet2015.csv | (46.7385, -91.0746) <= 24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/Towers_Stoy.csv, 24.explorerDocs/allSites.xlsx#Sheet1, 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/originals/Towers_Stoy.csv, 24.explorerDocs/unique_flux_sites.csv, assets/ameriflux_site_info.csv",materially conflicting coordinates were present across contributing records
