site_id,site_code,site_name,country_code,country,latitude,longitude,source_system,source_network,source_files,source_count,coordinate_details,review_reason
CN-Yuc,Yuc,Yucheng,CN,China,36.8287,116.5701,explorer_accessible,Site metadata,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/Towers_Stoy.csv; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/explorerSiteList_032026.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/originals/Towers_Stoy.csv; 24.explorerDocs/unique_flux_sites.csv; assets/icos_direct_fluxnet.csv; assets/shuttle_snapshot.csv; assets/site_name_metadata.csv,10,"max_distance_km=15.72; (36.8287, 116.5701) <= assets/icos_direct_fluxnet.csv, assets/shuttle_snapshot.csv | (36.833333, 116.570277) <= 24.explorerDocs/Towers_Stoy.csv, 24.explorerDocs/originals/Towers_Stoy.csv | (36.958333, 116.640556) <= 24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/allSites.xlsx#Sheet1, 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/unique_flux_sites.csv",materially conflicting coordinates were present across contributing records
CN-Zha,Zha,zhanjiang zhangjiangkou,CN,China,23.906444,117.402806,external_docs,Site metadata,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/sites_not_in_explorer.csv; 24.explorerDocs/unique_flux_sites.csv; assets/site_name_metadata.csv,6,"max_distance_km=826.03; (21.567514, 109.7562) <= 24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/allSites.xlsx#Sheet1, 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/sites_not_in_explorer.csv, 24.explorerDocs/unique_flux_sites.csv | (23.906444, 117.402806) <= 24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/allSites.xlsx#Sheet1, 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1",materially conflicting coordinates were present across contributing records
GBK,GBK,Gimje Soybean Field,KR,South Korea,35.750917,126.81375,explorer_repo_metadata,Site metadata,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/sites_not_in_explorer.csv; 24.explorerDocs/unique_flux_sites.csv; assets/site_name_metadata.csv,6,"(35.750917, 126.81375) <= 24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/allSites.xlsx#Sheet1, 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/sites_not_in_explorer.csv, 24.explorerDocs/unique_flux_sites.csv",multiple possible candidate merges were observed: KR-GmS
HCH,HCH,Hachihama Experimental Farm,JP,Japan,34.533333,133.933333,explorer_repo_metadata,Site metadata,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/sites_not_in_explorer.csv; 24.explorerDocs/unique_flux_sites.csv; assets/site_name_metadata.csv,6,"(34.533333, 133.933333) <= 24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/allSites.xlsx#Sheet1, 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/sites_not_in_explorer.csv, 24.explorerDocs/unique_flux_sites.csv",multiple possible candidate merges were observed: JP-Hc2
ID-Pag,Pag,Palangkaraya undrained forest,ID,Indonesia,-2.323917,113.90439,explorer_accessible,AsiaFlux;JapanFlux,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/Towers_Stoy.csv; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/explorerSiteList_032026.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/originals/Towers_Stoy.csv; 24.explorerDocs/unique_flux_sites.csv; assets/icos_direct_fluxnet.csv; assets/japanflux_direct_snapshot.csv; assets/shuttle_snapshot.csv; assets/site_name_metadata.csv,11,"max_distance_km=14.85; (-2.323917, 113.90439) <= assets/icos_direct_fluxnet.csv, assets/shuttle_snapshot.csv | (-2.323917, 113.904392) <= 24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/allSites.xlsx#Sheet1, 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/unique_flux_sites.csv, assets/japanflux_direct_snapshot.csv | (-2.345, 114.0364) <= 24.explorerDocs/Towers_Stoy.csv, 24.explorerDocs/originals/Towers_Stoy.csv",materially conflicting coordinates were present across contributing records
JP-Tom,Tom,Tomakomai Experimental Forest,JP,Japan,42.698906,141.571488,explorer_accessible,Stoy only,24.explorerDocs/Towers_Stoy.csv; 24.explorerDocs/explorerSiteList_032026.xlsx#Sheet1; 24.explorerDocs/originals/Towers_Stoy.csv; 24.explorerDocs/unique_flux_sites.csv; assets/japanflux_direct_snapshot.csv,5,"max_distance_km=6.46; (42.698906, 141.571488) <= assets/japanflux_direct_snapshot.csv | (42.7395, 141.5149) <= 24.explorerDocs/Towers_Stoy.csv, 24.explorerDocs/originals/Towers_Stoy.csv, 24.explorerDocs/unique_flux_sites.csv",materially conflicting coordinates were present across contributing records
KMW,KMW,Kog-Ma Wateshed,TH,Thailand,18.8,98.9,explorer_repo_metadata,Site metadata,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/sites_not_in_explorer.csv; 24.explorerDocs/unique_flux_sites.csv; assets/site_name_metadata.csv,6,"(18.8, 98.9) <= 24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/allSites.xlsx#Sheet1, 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/sites_not_in_explorer.csv, 24.explorerDocs/unique_flux_sites.csv",multiple possible candidate merges were observed: TH-Kog
KR-Hnm,Hnm,Haenam Farmland (HFK),KR,South Korea,34.5538,126.56992,explorer_accessible,AsiaFlux;KoFlux,24.explorerDocs/Towers_Stoy.csv; 24.explorerDocs/explorerSiteList_032026.xlsx#Sheet1; 24.explorerDocs/originals/Towers_Stoy.csv; 24.explorerDocs/unique_flux_sites.csv; assets/icos_direct_fluxnet.csv; assets/shuttle_snapshot.csv,6,"max_distance_km=91.59; (34.5538, 126.56992) <= assets/icos_direct_fluxnet.csv, assets/shuttle_snapshot.csv | (34.553888, 127.57) <= 24.explorerDocs/Towers_Stoy.csv, 24.explorerDocs/originals/Towers_Stoy.csv, 24.explorerDocs/unique_flux_sites.csv",materially conflicting coordinates were present across contributing records
ML-Kem,Kem,Kelma,ML,Mali,15.2875,-1.543056,explorer_accessible,CarboAfrica,24.explorerDocs/EFDC_SitesList.csv; 24.explorerDocs/Towers_Stoy.csv; 24.explorerDocs/originals/Towers_Stoy.csv; 24.explorerDocs/sites_not_in_explorer.csv; 24.explorerDocs/unique_flux_sites.csv; assets/efd_curated_sites_snapshot.csv; assets/efd_sites_snapshot.csv; assets/icos_direct_fluxnet.csv; assets/shuttle_snapshot.csv,9,"max_distance_km=7.52; (15.2237, -1.5662) <= 24.explorerDocs/EFDC_SitesList.csv, 24.explorerDocs/Towers_Stoy.csv, 24.explorerDocs/originals/Towers_Stoy.csv, 24.explorerDocs/sites_not_in_explorer.csv, 24.explorerDocs/unique_flux_sites.csv, assets/efd_curated_sites_snapshot.csv, assets/efd_sites_snapshot.csv | (15.2875, -1.543056) <= assets/icos_direct_fluxnet.csv, assets/shuttle_snapshot.csv",materially conflicting coordinates were present across contributing records
MMP,MMP,Mae Moh plantation,TH,Thailand,18.422942,99.718037,explorer_repo_metadata,Site metadata,24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/allSites.xlsx#Sheet1; 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1; 24.explorerDocs/sites_not_in_explorer.csv; 24.explorerDocs/unique_flux_sites.csv; assets/site_name_metadata.csv,6,"(18.422942, 99.718037) <= 24.explorerDocs/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/allSites.xlsx#Sheet1, 24.explorerDocs/originals/FluxSite_List_Pingyu.xlsx#Sheet1, 24.explorerDocs/sites_not_in_explorer.csv, 24.explorerDocs/unique_flux_sites.csv",multiple possible candidate merges were observed: TH-Mae
