site_id,site_name,country,data_hub,network,source_network,vegetation_type,first_year,last_year,latitude,longitude,download_link,download_mode,source,source_label,source_reason,source_priority,source_origin,object_id,file_name,direct_download_url,metadata_url,access_url,object_spec,project,coverage_start,coverage_end,production_end,citation
CH-Lae,Laegern,CH,ICOS,FLX,FLX,Mixed Forests,2004,2020,47.478333,8.364389,https://data.icos-cp.eu/licence_accept?ids=%5B%22zzxYRkb10enYVYruZXN0Dr1z%22%5D&fileName=FLX_CH-Lae_FLUXNET2015_FULLSET_2004-2020_beta-3.zip,direct,ICOS,ICOS,Discovered directly from ICOS Carbon Portal FLUXNET metadata.,300,icos_direct,zzxYRkb10enYVYruZXN0Dr1z,FLX_CH-Lae_FLUXNET2015_FULLSET_2004-2020_beta-3.zip,https://data.icos-cp.eu/licence_accept?ids=%5B%22zzxYRkb10enYVYruZXN0Dr1z%22%5D&fileName=FLX_CH-Lae_FLUXNET2015_FULLSET_2004-2020_beta-3.zip,https://meta.icos-cp.eu/objects/zzxYRkb10enYVYruZXN0Dr1z,https://data.icos-cp.eu/objects/zzxYRkb10enYVYruZXN0Dr1z,http://meta.icos-cp.eu/resources/cpmeta/miscFluxnetArchiveProduct,http://meta.icos-cp.eu/resources/projects/FLUXNET,2004-01-01T00:00:00Z,2021-01-01T00:00:00Z,2022-01-27T16:37:47.247517Z,"Buchmann, N., Eugster, W., Paul-Limoges, E., Gharun, M., ICOS Ecosystem Thematic Centre, 2022. Warm winter 2020 ecosystem eddy covariance flux product from Laegern. https://doi.org/10.18160/51Z6-S5XF"
CH-Oe2,Oensingen crop,CH,ICOS,FLX,FLX,Croplands,2004,2020,47.286415,7.73375,https://data.icos-cp.eu/licence_accept?ids=%5B%227i_v9UXL8pEZz8raKJX-3IqK%22%5D&fileName=FLX_CH-Oe2_FLUXNET2015_FULLSET_2004-2020_beta-3.zip,direct,ICOS,ICOS,Discovered directly from ICOS Carbon Portal FLUXNET metadata.,300,icos_direct,7i_v9UXL8pEZz8raKJX-3IqK,FLX_CH-Oe2_FLUXNET2015_FULLSET_2004-2020_beta-3.zip,https://data.icos-cp.eu/licence_accept?ids=%5B%227i_v9UXL8pEZz8raKJX-3IqK%22%5D&fileName=FLX_CH-Oe2_FLUXNET2015_FULLSET_2004-2020_beta-3.zip,https://meta.icos-cp.eu/objects/7i_v9UXL8pEZz8raKJX-3IqK,https://data.icos-cp.eu/objects/7i_v9UXL8pEZz8raKJX-3IqK,http://meta.icos-cp.eu/resources/cpmeta/miscFluxnetArchiveProduct,http://meta.icos-cp.eu/resources/projects/FLUXNET,2004-01-01T00:00:00Z,2021-01-01T00:00:00Z,2022-01-27T16:37:51.909822Z,"Buchmann, N., Eugster, W., Emmel, C., Maier, R., ICOS Ecosystem Thematic Centre, 2022. Warm winter 2020 ecosystem eddy covariance flux product from Oensingen crop. https://doi.org/10.18160/1Y8J-NKQ3"
CZ-BK1,Bily Kriz forest,CZ,ICOS,FLX,FLX,Evergreen Needleleaf Forests,2004,2020,49.502075,18.536882,https://data.icos-cp.eu/licence_accept?ids=%5B%22Ru01KATyDlvqFkOzvB7eBcrY%22%5D&fileName=FLX_CZ-BK1_FLUXNET2015_FULLSET_2004-2020_beta-3.zip,direct,ICOS,ICOS,Discovered directly from ICOS Carbon Portal FLUXNET metadata.,300,icos_direct,Ru01KATyDlvqFkOzvB7eBcrY,FLX_CZ-BK1_FLUXNET2015_FULLSET_2004-2020_beta-3.zip,https://data.icos-cp.eu/licence_accept?ids=%5B%22Ru01KATyDlvqFkOzvB7eBcrY%22%5D&fileName=FLX_CZ-BK1_FLUXNET2015_FULLSET_2004-2020_beta-3.zip,https://meta.icos-cp.eu/objects/Ru01KATyDlvqFkOzvB7eBcrY,https://data.icos-cp.eu/objects/Ru01KATyDlvqFkOzvB7eBcrY,http://meta.icos-cp.eu/resources/cpmeta/miscFluxnetArchiveProduct,http://meta.icos-cp.eu/resources/projects/FLUXNET,2004-01-01T00:00:00Z,2021-01-01T00:00:00Z,2022-01-27T16:38:03.073357Z,"Sigut, L., Foltýnová, L., Kowalska, N., Pavelka, M., ICOS Ecosystem Thematic Centre, 2022. Warm winter 2020 ecosystem eddy covariance flux product from Bily Kriz forest. https://doi.org/10.18160/2X51-1SD0"
CZ-KrP,Kresin u Pacova,CZ,ICOS,FLX,FLX,Croplands,2014,2020,49.573257,15.078773,https://data.icos-cp.eu/licence_accept?ids=%5B%220as8x1Ute1KMtHqRXUY76ViJ%22%5D&fileName=FLX_CZ-KrP_FLUXNET2015_FULLSET_2014-2020_beta-3.zip,direct,ICOS,ICOS,Discovered directly from ICOS Carbon Portal FLUXNET metadata.,300,icos_direct,0as8x1Ute1KMtHqRXUY76ViJ,FLX_CZ-KrP_FLUXNET2015_FULLSET_2014-2020_beta-3.zip,https://data.icos-cp.eu/licence_accept?ids=%5B%220as8x1Ute1KMtHqRXUY76ViJ%22%5D&fileName=FLX_CZ-KrP_FLUXNET2015_FULLSET_2014-2020_beta-3.zip,https://meta.icos-cp.eu/objects/0as8x1Ute1KMtHqRXUY76ViJ,https://data.icos-cp.eu/objects/0as8x1Ute1KMtHqRXUY76ViJ,http://meta.icos-cp.eu/resources/cpmeta/miscFluxnetArchiveProduct,http://meta.icos-cp.eu/resources/projects/FLUXNET,2014-01-01T00:00:00Z,2021-01-01T00:00:00Z,2022-01-27T16:38:06.228597Z,"Acosta, M., Czerný, R., Fischer, M., ICOS Ecosystem Thematic Centre, 2022. Warm winter 2020 ecosystem eddy covariance flux product from Kresin u Pacova. https://doi.org/10.18160/9A8S-EJVK"
CZ-Lnz,Lanzhot,CZ,ICOS,FLX,FLX,Deciduous Broadleaf Forests,2015,2020,48.68155,16.946331,https://data.icos-cp.eu/licence_accept?ids=%5B%22LaXYKv7nUEOYLD62wr43PK7H%22%5D&fileName=FLX_CZ-Lnz_FLUXNET2015_FULLSET_2015-2020_beta-3.zip,direct,ICOS,ICOS,Discovered directly from ICOS Carbon Portal FLUXNET metadata.,300,icos_direct,LaXYKv7nUEOYLD62wr43PK7H,FLX_CZ-Lnz_FLUXNET2015_FULLSET_2015-2020_beta-3.zip,https://data.icos-cp.eu/licence_accept?ids=%5B%22LaXYKv7nUEOYLD62wr43PK7H%22%5D&fileName=FLX_CZ-Lnz_FLUXNET2015_FULLSET_2015-2020_beta-3.zip,https://meta.icos-cp.eu/objects/LaXYKv7nUEOYLD62wr43PK7H,https://data.icos-cp.eu/objects/LaXYKv7nUEOYLD62wr43PK7H,http://meta.icos-cp.eu/resources/cpmeta/miscFluxnetArchiveProduct,http://meta.icos-cp.eu/resources/projects/FLUXNET,2015-01-01T00:00:00Z,2021-01-01T00:00:00Z,2022-01-27T16:38:09.718942Z,"Kowalska, N., Havrankova, K., Czerný, R., ICOS Ecosystem Thematic Centre, 2022. Warm winter 2020 ecosystem eddy covariance flux product from Lanzhot. https://doi.org/10.18160/4HZC-4JSG"
CZ-RAJ,Rajec,CZ,ICOS,FLX,FLX,Evergreen Needleleaf Forests,2012,2020,49.44372,16.696512,https://data.icos-cp.eu/licence_accept?ids=%5B%225vXGqp4aeQL0y5AOycJDkW_6%22%5D&fileName=FLX_CZ-RAJ_FLUXNET2015_FULLSET_2012-2020_beta-3.zip,direct,ICOS,ICOS,Discovered directly from ICOS Carbon Portal FLUXNET metadata.,300,icos_direct,5vXGqp4aeQL0y5AOycJDkW_6,FLX_CZ-RAJ_FLUXNET2015_FULLSET_2012-2020_beta-3.zip,https://data.icos-cp.eu/licence_accept?ids=%5B%225vXGqp4aeQL0y5AOycJDkW_6%22%5D&fileName=FLX_CZ-RAJ_FLUXNET2015_FULLSET_2012-2020_beta-3.zip,https://meta.icos-cp.eu/objects/5vXGqp4aeQL0y5AOycJDkW_6,https://data.icos-cp.eu/objects/5vXGqp4aeQL0y5AOycJDkW_6,http://meta.icos-cp.eu/resources/cpmeta/miscFluxnetArchiveProduct,http://meta.icos-cp.eu/resources/projects/FLUXNET,2012-01-01T00:00:00Z,2021-01-01T00:00:00Z,2022-01-27T16:38:13.793815Z,"Sigut, L., Foltýnová, L., Czerný, R., Pavelka, M., ICOS Ecosystem Thematic Centre, 2022. Warm winter 2020 ecosystem eddy covariance flux product from Rajec. https://doi.org/10.18160/AAYD-C9FK"
CZ-Stn,Stitna,CZ,ICOS,FLX,FLX,Deciduous Broadleaf Forests,2010,2020,49.035976,17.9699,https://data.icos-cp.eu/licence_accept?ids=%5B%22dk2fz16o17KBGIToFlaJ1Oh5%22%5D&fileName=FLX_CZ-Stn_FLUXNET2015_FULLSET_2010-2020_beta-3.zip,direct,ICOS,ICOS,Discovered directly from ICOS Carbon Portal FLUXNET metadata.,300,icos_direct,dk2fz16o17KBGIToFlaJ1Oh5,FLX_CZ-Stn_FLUXNET2015_FULLSET_2010-2020_beta-3.zip,https://data.icos-cp.eu/licence_accept?ids=%5B%22dk2fz16o17KBGIToFlaJ1Oh5%22%5D&fileName=FLX_CZ-Stn_FLUXNET2015_FULLSET_2010-2020_beta-3.zip,https://meta.icos-cp.eu/objects/dk2fz16o17KBGIToFlaJ1Oh5,https://data.icos-cp.eu/objects/dk2fz16o17KBGIToFlaJ1Oh5,http://meta.icos-cp.eu/resources/cpmeta/miscFluxnetArchiveProduct,http://meta.icos-cp.eu/resources/projects/FLUXNET,2010-01-01T00:00:00Z,2021-01-01T00:00:00Z,2022-01-27T16:38:18.264946Z,"Sigut, L., Foltýnová, L., Czerný, R., Pavelka, M., ICOS Ecosystem Thematic Centre, 2022. Warm winter 2020 ecosystem eddy covariance flux product from Stitna. https://doi.org/10.18160/0JY0-ZCD6"
CZ-wet,Trebon,CZ,ICOS,FLX,FLX,Permanent Wetlands,2006,2020,49.02465,14.77035,https://data.icos-cp.eu/licence_accept?ids=%5B%22WqomSESPhl5v4kSBTaptjFgD%22%5D&fileName=FLX_CZ-wet_FLUXNET2015_FULLSET_2006-2020_beta-3.zip,direct,ICOS,ICOS,Discovered directly from ICOS Carbon Portal FLUXNET metadata.,300,icos_direct,WqomSESPhl5v4kSBTaptjFgD,FLX_CZ-wet_FLUXNET2015_FULLSET_2006-2020_beta-3.zip,https://data.icos-cp.eu/licence_accept?ids=%5B%22WqomSESPhl5v4kSBTaptjFgD%22%5D&fileName=FLX_CZ-wet_FLUXNET2015_FULLSET_2006-2020_beta-3.zip,https://meta.icos-cp.eu/objects/WqomSESPhl5v4kSBTaptjFgD,https://data.icos-cp.eu/objects/WqomSESPhl5v4kSBTaptjFgD,http://meta.icos-cp.eu/resources/cpmeta/miscFluxnetArchiveProduct,http://meta.icos-cp.eu/resources/projects/FLUXNET,2006-01-01T00:00:00Z,2021-01-01T00:00:00Z,2022-01-27T16:38:27.784365Z,"Dušek, J., Czerný, R., Kowalska, N., Pavelka, M., ICOS Ecosystem Thematic Centre, 2022. Warm winter 2020 ecosystem eddy covariance flux product from Trebon. https://doi.org/10.18160/ZHF2-E96G"
DE-Akm,Anklam,DE,ICOS,FLX,FLX,Permanent Wetlands,2009,2020,53.86617,13.68342,https://data.icos-cp.eu/licence_accept?ids=%5B%22Gbm7LqjxKe_wzyNQseM66UJc%22%5D&fileName=FLX_DE-Akm_FLUXNET2015_FULLSET_2009-2020_beta-3.zip,direct,ICOS,ICOS,Discovered directly from ICOS Carbon Portal FLUXNET metadata.,300,icos_direct,Gbm7LqjxKe_wzyNQseM66UJc,FLX_DE-Akm_FLUXNET2015_FULLSET_2009-2020_beta-3.zip,https://data.icos-cp.eu/licence_accept?ids=%5B%22Gbm7LqjxKe_wzyNQseM66UJc%22%5D&fileName=FLX_DE-Akm_FLUXNET2015_FULLSET_2009-2020_beta-3.zip,https://meta.icos-cp.eu/objects/Gbm7LqjxKe_wzyNQseM66UJc,https://data.icos-cp.eu/objects/Gbm7LqjxKe_wzyNQseM66UJc,http://meta.icos-cp.eu/resources/cpmeta/miscFluxnetArchiveProduct,http://meta.icos-cp.eu/resources/projects/FLUXNET,2009-01-01T00:00:00Z,2021-01-01T00:00:00Z,2022-01-27T16:38:37.062295Z,"Bernhofer, C., Gruenwald, J.T., ICOS Ecosystem Thematic Centre, 2022. Warm winter 2020 ecosystem eddy covariance flux product from Anklam. https://doi.org/10.18160/5ZKC-H1RR"
DE-Geb,Gebesee,DE,ICOS,FLX,FLX,Croplands,2001,2020,51.09973,10.91463,https://data.icos-cp.eu/licence_accept?ids=%5B%22_9OUPl0C-LChCxEpZMmdg-00%22%5D&fileName=FLX_DE-Geb_FLUXNET2015_FULLSET_2001-2020_beta-3.zip,direct,ICOS,ICOS,Discovered directly from ICOS Carbon Portal FLUXNET metadata.,300,icos_direct,_9OUPl0C-LChCxEpZMmdg-00,FLX_DE-Geb_FLUXNET2015_FULLSET_2001-2020_beta-3.zip,https://data.icos-cp.eu/licence_accept?ids=%5B%22_9OUPl0C-LChCxEpZMmdg-00%22%5D&fileName=FLX_DE-Geb_FLUXNET2015_FULLSET_2001-2020_beta-3.zip,https://meta.icos-cp.eu/objects/_9OUPl0C-LChCxEpZMmdg-00,https://data.icos-cp.eu/objects/_9OUPl0C-LChCxEpZMmdg-00,http://meta.icos-cp.eu/resources/cpmeta/miscFluxnetArchiveProduct,http://meta.icos-cp.eu/resources/projects/FLUXNET,2001-01-01T00:00:00Z,2021-01-01T00:00:00Z,2022-01-27T16:38:42.873376Z,"Bruemmer, C., Schrader, F., Delorme, J.-P., Lucas-Moffat, A., ICOS Ecosystem Thematic Centre, 2022. Warm winter 2020 ecosystem eddy covariance flux product from Gebesee. https://doi.org/10.18160/KVAC-KYEX"
