month,source_file,raw_min,raw_max,scaled_min,scaled_max,fill_value_count,raw_nan_count,scaled_nan_count,nodata_check_passed
2002-04,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200204.nc,0.0,1259.0,0.0,12.59000015258789,21024091,0,21024091,True
2002-05,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200205.nc,1.0,1292.0,0.009999999776482582,12.920000076293945,21024091,0,21024091,True
2002-06,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200206.nc,0.0,1607.0,0.0,16.06999969482422,21024091,0,21024091,True
2002-07,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200207.nc,1.0,1875.0,0.009999999776482582,18.75,21024091,0,21024091,True
2002-08,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200208.nc,1.0,1682.0,0.009999999776482582,16.81999969482422,21024091,0,21024091,True
2002-09,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200209.nc,0.0,1314.0,0.0,13.139999389648438,21024091,0,21024091,True
2002-10,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200210.nc,0.0,1233.0,0.0,12.329999923706055,21024091,0,21024091,True
2002-11,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200211.nc,0.0,1207.0,0.0,12.069999694824219,21024091,0,21024091,True
2002-12,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200212.nc,0.0,1415.0,0.0,14.149999618530273,21024091,0,21024091,True
2003-01,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200301.nc,0.0,1452.0,0.0,14.519999504089355,21024091,0,21024091,True
2003-02,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200302.nc,0.0,1462.0,0.0,14.619999885559082,21024091,0,21024091,True
2003-03,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200303.nc,0.0,1256.0,0.0,12.559999465942383,21024091,0,21024091,True
2003-04,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200304.nc,0.0,1201.0,0.0,12.00999927520752,21024091,0,21024091,True
2003-05,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200305.nc,3.0,1279.0,0.029999999329447746,12.789999961853027,21024091,0,21024091,True
2003-06,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200306.nc,0.0,1547.0,0.0,15.469999313354492,21024091,0,21024091,True
2003-07,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200307.nc,0.0,1930.0,0.0,19.299999237060547,21024091,0,21024091,True
2003-08,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200308.nc,3.0,1747.0,0.029999999329447746,17.469999313354492,21024091,0,21024091,True
2003-09,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200309.nc,0.0,1302.0,0.0,13.019999504089355,21024091,0,21024091,True
2003-10,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200310.nc,0.0,1257.0,0.0,12.569999694824219,21024091,0,21024091,True
2003-11,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200311.nc,0.0,1262.0,0.0,12.619999885559082,21024091,0,21024091,True
2003-12,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200312.nc,0.0,1302.0,0.0,13.019999504089355,21024091,0,21024091,True
2004-01,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200401.nc,0.0,1553.0,0.0,15.529999732971191,21024091,0,21024091,True
2004-02,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200402.nc,0.0,1457.0,0.0,14.569999694824219,21024091,0,21024091,True
2004-03,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200403.nc,0.0,1272.0,0.0,12.719999313354492,21024091,0,21024091,True
2004-04,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200404.nc,0.0,1221.0,0.0,12.210000038146973,21024091,0,21024091,True
2004-05,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200405.nc,2.0,1276.0,0.019999999552965164,12.75999927520752,21024091,0,21024091,True
2004-06,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200406.nc,0.0,1536.0,0.0,15.359999656677246,21024091,0,21024091,True
2004-07,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200407.nc,0.0,1572.0,0.0,15.719999313354492,21024091,0,21024091,True
2004-08,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200408.nc,3.0,1524.0,0.029999999329447746,15.239999771118164,21024091,0,21024091,True
2004-09,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200409.nc,0.0,1313.0,0.0,13.130000114440918,21024091,0,21024091,True
2004-10,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200410.nc,0.0,1305.0,0.0,13.049999237060547,21024091,0,21024091,True
2004-11,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200411.nc,0.0,1277.0,0.0,12.769999504089355,21024091,0,21024091,True
2004-12,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200412.nc,0.0,1393.0,0.0,13.929999351501465,21024091,0,21024091,True
2005-01,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200501.nc,0.0,1517.0,0.0,15.170000076293945,21024091,0,21024091,True
2005-02,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200502.nc,0.0,1438.0,0.0,14.380000114440918,21024091,0,21024091,True
2005-03,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200503.nc,0.0,1341.0,0.0,13.40999984741211,21024091,0,21024091,True
2005-04,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200504.nc,0.0,1233.0,0.0,12.329999923706055,21024091,0,21024091,True
2005-05,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200505.nc,1.0,1284.0,0.009999999776482582,12.84000015258789,21024091,0,21024091,True
2005-06,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200506.nc,0.0,1684.0,0.0,16.84000015258789,21024091,0,21024091,True
2005-07,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200507.nc,0.0,1930.0,0.0,19.299999237060547,21024091,0,21024091,True
2005-08,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200508.nc,2.0,1662.0,0.019999999552965164,16.619998931884766,21024091,0,21024091,True
2005-09,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200509.nc,0.0,1339.0,0.0,13.389999389648438,21024091,0,21024091,True
2005-10,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200510.nc,0.0,1282.0,0.0,12.819999694824219,21024091,0,21024091,True
2005-11,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200511.nc,0.0,1215.0,0.0,12.149999618530273,21024091,0,21024091,True
2005-12,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200512.nc,0.0,1464.0,0.0,14.639999389648438,21024091,0,21024091,True
2006-01,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200601.nc,0.0,1491.0,0.0,14.90999984741211,21024091,0,21024091,True
2006-02,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200602.nc,0.0,1469.0,0.0,14.6899995803833,21024091,0,21024091,True
2006-03,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200603.nc,0.0,1186.0,0.0,11.859999656677246,21024091,0,21024091,True
2006-04,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200604.nc,0.0,1233.0,0.0,12.329999923706055,21024091,0,21024091,True
2006-05,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200605.nc,1.0,1322.0,0.009999999776482582,13.219999313354492,21024091,0,21024091,True
2006-06,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200606.nc,0.0,1644.0,0.0,16.440000534057617,21024091,0,21024091,True
2006-07,/Users/trevorkeenan/Data/CEDAR_GPP/LT_CFE-Hybrid_NT/CEDAR-GPP_v01_LT_CFE-Hybrid_NT_200607.nc,0.0,1832.0,0.0,18.31999969482422,21024091,0,21024091,True
